nID,source,bias,feedback,URL
18,BET,left-center,286/428 disagree,https://www.bet.com/
274,Better Government Association,center,56/85 disagree,https://www.bettergov.org/
19,Biblical Gender Roles,right,176/62 strongly agree,https://biblicalgenderroles.com/
275,Biblical Sexology,right,128/58 strongly agree,https://biblicalsexology.com/
20,Bizpac Review,right,117/60 agree,https://www.bizpacreview.com/
276,Black Enterprise,left-center,88/152 disagree,https://www.blackenterprise.com/
21,Block Club Chicago,left,92/53 agree,https://blockclubchicago.org/
277,Bloomberg,left-center,15967/21129 somewhat disagree,http://www.bloomberg.com/
22,Blue Virginia,left,860/611 somewhat agree,http://www.bluevirginia.us/
278,Boing Boing,left,984/650 agree,http://boingboing.net/
23,Boston Herald,right-center,625/500 somewhat agree,https://www.bostonherald.com/
523,Boston Review,left-center,76/78 somewhat disagree,https://www.bostonreview.net/
513,Bowling Green Daily News,left-center,979/631 agree,http://www.bgdailynews.com/
24,Braver Angels,allsides,165/135 somewhat agree,https://braverangels.org/
280,Breitbart News,right,39376/11252 absolutely agree,http://www.breitbart.com/
25,Bridge Alliance,left-center,36/38 somewhat disagree,https://www.bridgealliance.us/
281,Bridgemi.com,center,172/139 somewhat agree,https://www.bridgemi.com/
26,Brookings Institution,center,2685/1928 somewhat agree,https://www.brookings.edu/
282,Brown Girl Magazine,left,148/54 strongly agree,https://browngirlmagazine.com/
27,Bustle,left-center,893/880 somewhat agree,http://www.bustle.com/
283,BuzzFeed News,left,24655/9216 strongly agree,http://buzzfeednews.com/
28,Byron Donalds,right-center,33/22 somewhat agree,https://www.byrondonalds.com/
29,CalMatters,center,825/715 somewhat agree,http://calmatters.org/
285,CalWatchdog,center,605/642 somewhat disagree,http://www.calwatchdog.com/
30,Capital Research Center,right-center,91/56 agree,https://capitalresearch.org/
286,Care2,left,665/692 somewhat disagree,http://www.care2.com/
31,Carnegie Endowment for International Peace,center,507/442 somewhat agree,http://carnegieendowment.org/
287,Cato Institute,right-center,1218/1724 somewhat disagree,http://www.cato.org/
32,CBN,right,7003/3563 agree,http://www.cbn.com/
288,CBS News,left-center,18978/12106 agree,http://www.cbsnews.com/
289,Center For American Progress,left-center,1176/1708 somewhat disagree,http://www.americanprogress.org/
34,Center for Media and Democracy PR Watch,left-center,299/381 somewhat disagree,http://www.prwatch.org/
290,Center for Public Integrity,left-center,765/901 somewhat disagree,http://www.publicintegrity.org/
35,Center for Strategic and Budgetary Assessments,right-center,411/494 somewhat disagree,https://csbaonline.org/
291,Center on Budget and Policy Priorities,left,824/708 somewhat agree,http://www.cbpp.org/
36,Centre View,left-center,651/708 somewhat disagree,http://www.centre-view.com/
292,Chicago Booth Initiative on Global Markets,allsides,258/257 somewhat agree,http://www.igmchicago.org/
37,Chicago Crusader,left,77/27 strongly agree,https://chicagocrusader.com/
293,Chicago Defender,left,120/52 strongly agree,https://chicagodefender.com/
38,Chicago Sun-Times,left-center,904/919 somewhat disagree,http://chicago.suntimes.com/
294,Chicago Tribune,center,2104/3910 disagree,http://www.chicagotribune.com/
39,Children's Defense Fund,left,379/384 somewhat disagree,http://www.childrensdefense.org/
295,Christian Science Monitor,center,15643/19215 somewhat disagree,http://www.csmonitor.com/
40,Christianity Today,right-center,214/320 disagree,http://www.christianitytoday.com/
296,City Journal,right,564/434 somewhat agree,http://www.city-journal.org/
41,CivilPolitics.org,center,288/272 somewhat agree,http://www.civilpolitics.org/
297,CNBC,center,3154/6506 strongly disagree,http://cnbc.com/
42,CNET,center,502/440 somewhat agree,http://www.cnet.com/
298,CNN,left,51060/47831 somewhat agree,http://www.cnn.com/
44,CNSNews.com,right,1011/803 somewhat agree,http://cnsnews.com/
300,Coffee Party USA,center,80/81 somewhat disagree,https://coffeepartyusa.com/
45,Columbia Journalism Review,center,281/522 disagree,http://www.cjr.org/index.php
301,Columbia Missourian,center,47/40 somewhat agree,https://www.columbiamissourian.com/news/
46,Commentary Magazine,right,289/296 somewhat disagree,https://www.commentarymagazine.com/
302,Committee to Protect Journalists,center,40/39 somewhat agree,https://cpj.org/
47,Common Dreams,left,121/51 strongly agree,https://www.commondreams.org/
303,Common Ground Committee,center,36/21 agree,https://commongroundcommittee.org/
524,Concord Monitor,center,75/83 somewhat disagree,http://www.concordmonitor.com/
514,Conservative HQ,right,611/206 strongly agree,http://www.conservativehq.com/
48,Cook Report,center,979/663 somewhat agree,http://cookpolitical.com/
304,Council on Foreign Relations,left,236/320 somewhat disagree,http://www.cfr.org/
49,Countable,center,144/137 somewhat agree,https://www.countable.us/
305,Counter Currents,left-center,388/310 somewhat agree,http://www.countercurrents.org/
50,Counterpointing,allsides,433/400 somewhat agree,http://www.counterpointing.com/
306,CrowdPAC,center,467/497 somewhat disagree,https://www.crowdpac.com/
284,C-SPAN,center,4143/1339 absolutely agree,http://www.c-span.org/
51,CU Independent,center,411/482 somewhat disagree,http://cuindependent.com/
307,Current Affairs,left,477/223 strongly agree,https://www.currentaffairs.org/
52,Daily Beast,left,19414/6127 absolutely agree,http://www.thedailybeast.com/
308,Daily Breeze,center,35/52 somewhat disagree,https://www.dailybreeze.com/
53,Daily Cardinal,center,477/521 somewhat disagree,http://www.dailycardinal.com/
309,Daily Chela,left,56/48 somewhat agree,https://www.dailychela.com/
54,Daily Citizen,right,95/52 agree,https://dailycitizen.focusonthefamily.com/
310,Daily Kos,left,5739/2109 strongly agree,http://www.dailykos.com/
55,Daily Mail,right,11864/6486 agree,http://dailymail.co.uk/
311,Daily Northwestern,left-center,424/447 somewhat disagree,http://dailynorthwestern.com/
56,Daily Press,right-center,424/537 somewhat disagree,http://www.dailypress.com/
312,Daily Progress,center,477/496 somewhat disagree,http://www.dailyprogress.com/
57,Daily Targum,left-center,303/448 somewhat disagree,http://www.dailytargum.com/
313,Data for Progress,left,7/9 somewhat disagree,https://www.dataforprogress.org/
58,Defense One,center,360/342 somewhat agree,https://www.defenseone.com/
314,Democracy Now,left,13319/3062 absolutely agree,http://www.democracynow.org/
59,Des Moines Register,center,163/258 disagree,http://desmoinesregister.com/
315,Deseret News,right-center,1321/1914 somewhat disagree,https://www.deseret.com/
60,Desiring God,right-center,40/38 somewhat agree,https://www.desiringgod.org/
316,DetectFakeNews.com,center,36/52 somewhat disagree,https://faculty.lsu.edu/fakenews/
61,Detroit Free Press,left-center,296/353 somewhat disagree,http://www.freep.com/
317,Detroit News,center,173/294 disagree,http://www.detroitnews.com/
62,Deutsche Welle,center,38/32 somewhat agree,https://www.dw.com/
318,Diplomatic Courier,center,399/329 somewhat agree,http://www.diplomaticourier.com/
63,Divided We Fall,allsides,15/12 somewhat agree,https://dividedwefall.com/
319,Drudge Report,right-center,2331/2128 somewhat agree,http://www.drudgereport.com/
64,Duke Chronicle,center,459/461 somewhat disagree,http://www.dukechronicle.com/
320,East Bay Times,left-center,122/73 agree,https://www.eastbaytimes.com/
65,Economic Policy Institute,left,343/293 somewhat agree,http://www.epi.org/
321,Education Week,center,147/224 disagree,http://edweek.org/
66,EdVotes.org,left,152/80 agree,http://educationvotes.nea.org/
322,Elle Magazine,left-center,54/42 somewhat agree,https://www.elle.com/
67,Environmental Defense Fund,left-center,413/363 somewhat agree,http://www.edf.org/
323,Erraticus,center,46/24 agree,https://erraticus.co/
68,ESPN.com,left-center,186/223 somewhat disagree,https://www.espn.com/
324,Esquire,left,1313/613 strongly agree,https://www.esquire.com/
69,Estes Park Trail Gazette,center,314/386 somewhat disagree,http://www.eptrail.com/
325,Eurek Alert,center,386/435 somewhat disagree,http://www.eurekalert.org/
70,Evie Magazine,right-center,67/55 somewhat agree,https://www.eviemagazine.com/
326,Face the Facts USA,center,276/430 disagree,https://facethefactsusa.org/
71,Fact Checker Blog,center,864/827 somewhat agree,https://www.factcheck.org/
327,FAIR,left-center,610/625 somewhat disagree,http://fair.org/
525,Falls Church News - Press,left,463/496 somewhat disagree,http://www.fcnp.com/
515,Family Research Council,right-center,4222/1666 strongly agree,https://www.frc.org/
72,Federation of American Scientists,left-center,345/418 somewhat disagree,https://fas.org/
328,FEE,right-center,579/193 strongly agree,https://fee.org/
73,Financial Times,center,928/599 agree,https://www.ft.com/
329,First Draft News,center,27/29 somewhat disagree,https://firstdraftnews.org/
74,Fiscal Times,right-center,755/668 somewhat agree,http://www.thefiscaltimes.com/
330,FiveThirtyEight,center,4563/3490 somewhat agree,http://fivethirtyeight.com/
75,Food Democracy Now,left-center,174/192 somewhat disagree,http://www.fooddemocracynow.org/
331,Forbes,center,13736/8462 agree,http://www.forbes.com/
76,Foreign Affairs,center,1128/643 agree,https://www.foreignaffairs.com/
332,Foreign Policy,center,325/384 somewhat disagree,https://foreignpolicy.com/
77,Fort Worth Star-Telegram,center,16/27 disagree,https://www.star-telegram.com/
333,Fortune,center,184/315 disagree,https://www.fortune.com/
78,Fox Business,right-center,114/59 agree,https://www.foxbusiness.com/
334,Fox News,right,41938/47713 somewhat disagree,http://www.foxnews.com/
335,Fox News Latino,right,2668/1218 strongly agree,http://latino.foxnews.com/index.html
80,Freakonomics,center,454/277 agree,http://freakonomics.com/
336,Freedom House,right-center,146/202 somewhat disagree,https://freedomhouse.org/
81,FrontPage Magazine,right,641/460 somewhat agree,http://frontpagemag.com/
337,Gallup,center,716/647 somewhat agree,https://www.gallup.com/home.aspx
82,Gell,allsides,119/80 somewhat agree,https://www.gell.com/
338,Gizmodo,left-center,272/198 somewhat agree,http://gizmodo.com/
83,GLAAD,left-center,68/232 absolutely disagree,https://www.glaad.org/
339,Global Disinformation Index,left,5/8 disagree,https://disinformationindex.org/
84,GoLocal Providence,center,15/12 somewhat agree,https://www.golocalprov.com/
340,Google News,left-center,959/700 somewhat agree,https://news.google.com/
85,GOP,right,600/296 strongly agree,https://www.gop.gov/
341,Govt. Accountability Office,center,19/14 somewhat agree,https://www.gao.gov/
86,GQ,left-center,193/234 somewhat disagree,https://www.gq.com/
342,Grist,left-center,528/574 somewhat disagree,https://grist.org/
87,Haaretz,center,12/19 disagree,https://www.haaretz.com/
343,Hampton Roads Messanger,center,422/434 somewhat disagree,http://www.hamptonroadsmessenger.com/
88,Harvard Business School,left-center,810/1024 somewhat disagree,http://hbswk.hbs.edu/
344,Healthcare.gov,left-center,311/609 disagree,http://www.healthcare.gov/
89,Heavy.com,center,159/187 somewhat disagree,https://heavy.com/
345,Herald Democrat,left,530/433 somewhat agree,http://heralddemocrat.com/
90,High Times,left-center,56/43 somewhat agree,https://hightimes.com/
346,Hip Latina,left,36/28 somewhat agree,https://hiplatina.com/
91,Honolulu Civil Beat,center,395/550 somewhat disagree,https://www.civilbeat.org/
347,HotAir,right-center,1105/996 somewhat agree,http://hotair.com/
92,Houston Chronicle,center,150/312 strongly disagree,https://www.houstonchronicle.com/
348,HuffPost,left,35500/22243 agree,https://www.huffpost.com/
93,Human Rights Campaign,left,97/24 absolutely agree,https://www.hrc.org/
349,Human Rights Watch,center,63/113 disagree,https://www.hrw.org/
94,Idaho Statesman,center,123/162 somewhat disagree,http://www.idahostatesman.com/
350,Inacow,right,427/323 somewhat agree,http://www.inacow.com/
95,Independent Institute,right-center,320/351 somewhat disagree,http://www.independent.org/
351,Independent Journal Review,center,1315/1249 somewhat agree,http://www.ijreview.com/
526,Indiana Daily Student,center,316/427 somewhat disagree,http://www.idsnews.com/
516,Indy Online,center,13743/2981 absolutely agree,https://www.theindyonline.com/
96,Indy Week,left-center,348/381 somewhat disagree,http://www.indyweek.com/
352,IndyStar,center,36/48 somewhat disagree,http://indystar.com/
97,InfoWars,right,5262/1151 absolutely agree,http://www.infowars.com/
353,Inland Valley Daily Bulletin,center,29/25 somewhat agree,https://www.dailybulletin.com/
98,Inside Philanthropy,center,345/390 somewhat disagree,https://www.insidephilanthropy.com/
354,Insider,center,3344/5376 disagree,http://www.businessinsider.com/
99,Intellectual Conservative,right-center,397/452 somewhat disagree,https://www.intellectualconservative.com/
355,International Business Times,center,1090/871 somewhat agree,http://www.ibtimes.com/
100,Investor's Business Daily,right-center,1275/1044 somewhat agree,http://www.investors.com/
356,IVN,center,486/483 somewhat agree,http://www.ivn.us/
101,Jacobin,left,981/240 absolutely agree,https://jacobinmag.com/
357,Jefferson Public Radio,center,22/21 somewhat agree,https://www.ijpr.org/
102,Jezebel,left,386/129 strongly agree,https://jezebel.com/
358,Journalist's Resource,center,322/358 somewhat disagree,http://journalistsresource.org/
103,JSTOR Daily,center,47/42 somewhat agree,https://daily.jstor.org/
359,Jubilee Media,center,267/313 somewhat disagree,https://www.jubileemedia.com/
104,Judicial Watch,right-center,1341/1430 somewhat disagree,http://www.judicialwatch.org/
360,Just Facts,center,113/147 somewhat disagree,https://www.justfacts.com/
105,Just Security,center,18/16 somewhat agree,https://www.justsecurity.org/
361,Just The News,center,247/653 strongly disagree,https://justthenews.com/
106,KALW,center,27/30 somewhat disagree,https://www.kalw.org/
362,KATU,center,98/130 somewhat disagree,https://katu.com/
107,Kenosha News,center,15/40 strongly disagree,https://www.kenoshanews.com/
363,KQED,center,581/512 somewhat agree,http://kqed.org/
108,KSL,right,993/897 somewhat agree,http://www.ksl.com/
364,KWCH,center,21/20 somewhat agree,http://kwch.com/
109,Las Vegas Sun,left-center,351/356 somewhat disagree,http://lasvegassun.com/
365,Latino Rebels,left,43/37 somewhat agree,https://www.latinorebels.com/
110,Law and Crime,center,43/45 somewhat disagree,https://lawandcrime.com/
366,Leafly,left,24/20 somewhat agree,https://www.leafly.com/
111,Leesburg Today,right-center,280/261 somewhat agree,http://www.leesburgtoday.com/
112,LGBTQ Nation,left,134/219 disagree,https://www.lgbtqnation.com/
368,Lifehacker,center,430/422 somewhat agree,http://www.lifehacker.com/
113,Listen First Project,allsides,180/149 somewhat agree,http://www.listenfirstproject.org/
369,Live Action News,right-center,365/267 somewhat agree,http://liveactionnews.org/
114,Live Science,center,95/71 somewhat agree,https://www.livescience.com/
370,Long Beach Press-Telegram,center,19/34 disagree,https://www.presstelegram.com/
115,Longmont Times-Call,left-center,234/204 somewhat agree,http://www.timescall.com/
371,Los Angeles Daily News,center,31/94 absolutely disagree,https://www.dailynews.com/
116,Los Angeles Times,left-center,4913/3642 somewhat agree,http://www.latimes.com/
372,Louisville Courier-Journal,left-center,258/266 somewhat disagree,http://www.courier-journal.com/
373,Manhattan Institute,right-center,295/379 somewhat disagree,http://www.manhattan-institute.org/
118,Marijuana Moment,left-center,37/34 somewhat agree,https://www.marijuanamoment.net/
374,MarketWatch,center,402/1004 strongly disagree,https://www.marketwatch.com/
119,Mashable,left,611/261 strongly agree,https://mashable.com/
375,McClatchyDC,center,123/163 somewhat disagree,https://www.mcclatchydc.com/
527,Media Matters,left,3136/1716 agree,https://www.mediamatters.org/
517,Media Research Center,right,1803/1005 agree,https://www.mrc.org/
120,Media Village,center,4/8 strongly disagree,https://www.mediavillage.com/
376,Mediaite,left-center,922/933 somewhat disagree,http://www.mediaite.com/
121,Mercatus Center,right-center,23/20 somewhat agree,https://www.mercatus.org/
377,Metro Weekly,left,5/9 disagree,https://www.metroweekly.com/
122,Miami Herald,left-center,452/466 somewhat disagree,http://www.miamiherald.com/
378,MichelleMalkin.com,right,669/335 agree,http://michellemalkin.com/
123,Michigan Daily,left-center,300/279 somewhat agree,https://www.michigandaily.com/
379,Military Times,center,133/150 somewhat disagree,https://www.militarytimes.com/
124,Mises Institute,right-center,70/40 agree,https://mises.org/
380,Misinformation Review,center,32/44 somewhat disagree,https://misinforeview.hks.harvard.edu/
125,Mismatch.org,allsides,127/132 somewhat disagree,https://www.mismatch.org/
381,MIT News,center,300/261 somewhat agree,http://news.mit.edu/
382,Mother Jones,left,15257/2258 absolutely agree,http://www.motherjones.com/
127,MSNBC,left,21046/5445 absolutely agree,http://www.msnbc.com/
383,MTV News Online,left-center,162/263 disagree,http://www.mtv.com/news/
128,NAACP,left-center,384/763 disagree,https://naacp.org/
384,National Committee to Preserve Social Security and Medicare,left,299/266 somewhat agree,http://www.ncpssm.org/
129,National Constitution Center,center,141/122 somewhat agree,https://constitutioncenter.org/
385,National Federation of Independent Business,right-center,9/10 somewhat disagree,https://www.nfib.com/
130,National Geographic,center,189/155 somewhat agree,https://www.nationalgeographic.com/
386,National Interest,center,255/386 disagree,http://nationalinterest.org/
131,National Journal,center,1059/817 somewhat agree,http://www.nationaljournal.com/
387,National Review,right,18866/7698 strongly agree,http://www.nationalreview.com/
132,Nature.com,center,165/108 agree,https://www.nature.com/
388,Nautilus Quarterly,center,17/14 somewhat agree,https://nautil.us/
133,NBC News,left-center,12086/11844 somewhat agree,http://www.nbcnews.com/
389,NBC Today Show,left-center,1605/1697 somewhat disagree,http://www.today.com/
134,New Discourses,center,121/95 somewhat agree,https://newdiscourses.com/
390,New Economy Working Group,left-center,117/88 somewhat agree,http://www.ips-dc.org/
135,New Hampshire Union Leader,center,68/82 somewhat disagree,http://www.unionleader.com/
391,New Republic,left,1727/858 strongly agree,http://www.newrepublic.com/
136,New York Daily News,left,1514/676 strongly agree,http://www.nydailynews.com/
392,New York Magazine,left,2327/1001 strongly agree,http://nymag.com/
137,New York Post,right-center,14233/7605 agree,http://www.nypost.com/
138,New York Times,left-center,28979/38828 somewhat disagree,http://www.nytimes.com/
139,News Literacy Project,center,32/24 somewhat agree,http://newslit.org/
395,NewsBusters,right,573/316 agree,http://www.newsbusters.org/
140,Newsmax,right-center,10088/10870 somewhat disagree,http://www.newsmax.com/
141,NewsOne,left,255/101 strongly agree,https://newsone.com/
397,Newsweek,center,3262/4862 somewhat disagree,https://www.newsweek.com/
142,Newsy,center,317/142 strongly agree,https://www.newsy.com/
398,Newtrals,center,25/16 agree,http://newtrals.com/
143,Nieman Lab,center,87/97 somewhat disagree,https://www.niemanlab.org/
399,NMPolitics.net,center,241/304 somewhat disagree,http://nmpolitics.net/
528,No Labels,center,146/136 somewhat agree,http://www.nolabels.org/
518,NPR,center,171/262 disagree,http://www.npr.org/
400,One America News Network,right,2448/1398 agree,https://www.oann.com/
145,OpenSecrets,center,676/495 somewhat agree,http://www.opensecrets.org/
401,Orange County Register,right-center,390/312 somewhat agree,http://www.ocregister.com/
146,Our.News,center,13/10 somewhat agree,https://our.news/
402,Outkick the Coverage,center,22/60 strongly disagree,https://www.outkick.com/
147,Pacific Research Institute,right,212/217 somewhat disagree,http://www.pacificresearch.org/
403,Pacific Standard,left-center,447/405 somewhat agree,http://www.psmag.com/
148,Palm Springs Desert Sun,center,12/20 disagree,https://www.desertsun.com/
404,Pasadena Star-News,center,21/20 somewhat agree,https://www.pasadenastarnews.com/
149,Patch.com,center,26/69 strongly disagree,https://patch.com/
405,PBS NewsHour,center,3564/2665 somewhat agree,http://www.pbs.org/newshour/
150,Peacock Panache,left,218/122 agree,http://www.peacock-panache.com/
406,People for the American Way,left,334/210 agree,http://www.pfaw.org/
151,Pew Research Center,center,2321/1497 agree,https://www.pewresearch.org/
407,Phys,center,220/125 agree,http://phys.org/
152,Physicians for a National Health Program,left,236/162 somewhat agree,http://www.pnhp.org/
408,PinkNews,left,125/30 absolutely agree,https://www.pinknews.co.uk/
153,Pittsburgh Post-Gazette,right-center,362/413 somewhat disagree,http://www.post-gazette.com/
409,PJ Media,right,715/304 strongly agree,https://pjmedia.com/
154,Politico,left-center,23391/30204 somewhat disagree,http://www.politico.com/
410,PoliticusUSA,left,1153/402 strongly agree,http://www.politicususa.com/
155,Portland Press Herald,center,284/427 disagree,http://www.pressherald.com/
411,Poynter,center,135/327 strongly disagree,https://www.poynter.org/
156,Prager University,right,3645/862 absolutely agree,http://www.prageru.com/
412,PRI,center,807/538 somewhat agree,http://www.pri.org/
157,Progressive Voices of Iowa,left,275/167 agree,https://progressivevoicesofiowa.com/
413,Project Veritas,right-center,428/486 somewhat disagree,https://www.projectveritas.com/
158,ProPublica,left-center,1777/1187 somewhat agree,http://www.propublica.org/
414,Psychology Today,center,122/130 somewhat disagree,https://www.psychologytoday.com/
159,PXW News,center,221/233 somewhat disagree,http://www.pxw.news/
415,Quartz,center,728/779 somewhat disagree,http://qz.com/
160,Quillette,right-center,593/880 somewhat disagree,https://quillette.com/
416,Quinnipiac University,center,273/468 disagree,https://www.qu.edu/
161,RAND Corporation,left-center,524/725 somewhat disagree,http://www.rand.org/
417,Rasmussen Reports,center,657/957 somewhat disagree,https://www.rasmussenreports.com/
162,Raw Story,left,1336/548 strongly agree,http://www.rawstory.com/
418,RealClearPolitics,center,4364/5384 somewhat disagree,http://www.realclearpolitics.com/
163,Reason,right-center,9440/5739 agree,http://reason.com/
419,Reason Foundation,right-center,252/279 somewhat disagree,http://reason.org/
164,Record Journal,center,173/185 somewhat disagree,http://www.myrecordjournal.com/home/
420,Red Racing Horses,right,59/68 somewhat disagree,https://rrhelections.com/
165,RedBlueDictionary,allsides,185/146 somewhat agree,http://redbluedictionary.org/
421,redefinED,center,163/94 agree,http://www.redefinedonline.org/
166,Redlands Daily Facts,center,13/18 somewhat disagree,https://www.redlandsdailyfacts.com/
422,RedState,right,892/324 strongly agree,https://redstate.com/
167,Refinery29,left,81/48 agree,https://www.refinery29.com/
423,Reuters,center,18122/10137 agree,http://www.reuters.com/
529,Revolver News,right,28/12 strongly agree,https://www.revolver.news/
519,Richmond Times Dispatch,right-center,825/338 strongly agree,http://www.richmond.com/
424,Right Side News,right,521/264 agree,http://www.rightsidenews.com/
169,Right Wing News,right,459/231 agree,https://rightwingnews.com/
425,Roll Call,center,261/240 somewhat agree,https://rollcall.com/
170,RollingStone,left,1977/536 absolutely agree,http://www.rollingstone.com/
426,Salon,left,11785/5243 strongly agree,http://www.salon.com/
171,San Antonio Express-News,center,12/17 somewhat disagree,https://www.expressnews.com/
427,San Bernardino Sun,center,24/13 agree,https://www.sbsun.com/
172,San Diego Union-Tribune,left-center,34/34,https://www.sandiegouniontribune.com/
428,San Francisco Chronicle,left,1115/428 strongly agree,https://www.sfchronicle.com/
173,San Gabriel Valley Tribune,center,23/25 somewhat disagree,https://www.sgvtribune.com/
429,San Jose Mercury News,left-center,512/528 somewhat disagree,http://www.mercurynews.com/
174,Science Daily,center,595/362 agree,https://www.sciencedaily.com/
430,Scientific American,left-center,1775/948 agree,http://www.scientificamerican.com/
175,SCOTUSblog,center,42/31 somewhat agree,https://www.scotusblog.com/
431,Scriberr Media,center,81/62 somewhat agree,https://scriberrnews.com/
432,SF Weekly,center,308/399 somewhat disagree,http://www.sfweekly.com/
177,SFGate,left-center,581/616 somewhat disagree,http://www.sfgate.com/
433,Sky-Hi Daily News,left-center,187/186 somewhat agree,http://www.skyhidailynews.com/
178,Slate,left,9526/3502 strongly agree,https://slate.com/
434,Smerconish,center,240/332 somewhat disagree,http://www.smerconish.com/
179,Smithsonian Magazine,center,109/78 somewhat agree,https://www.smithsonianmag.com/
435,Socialist Alternative,left,534/237 strongly agree,http://www.socialistalternative.org/
180,Socialist Project/The Bullet,left,463/206 strongly agree,https://socialistproject.ca/
436,South China Morning Post,center,62/85 somewhat disagree,https://www.scmp.com/
181,Southern Poverty Law Center,left,22/4 absolutely agree,https://www.splcenter.org/
437,Spectator,right,166/102 agree,https://www.spectator.co.uk/
182,Spiked,right-center,47/54 somewhat disagree,https://www.spiked-online.com/
438,Splinter,left,257/124 strongly agree,https://splinternews.com/
183,Spokesman Review,left-center,264/310 somewhat disagree,http://www.spokesman.com/
439,St. Louis Post-Dispatch,center,6/7 somewhat disagree,https://www.stltoday.com/
184,Star Tribune,left-center,51/76 somewhat disagree,http://www.startribune.com/
440,STAT,center,18/11 agree,https://www.statnews.com/
185,State Journal,left-center,215/310 somewhat disagree,http://www.state-journal.com/
441,Stimson Center,center,13/16 somewhat disagree,https://www.stimson.org/
186,StoryCorps,allsides,120/104 somewhat agree,https://storycorps.org/
442,Students For Life,right-center,27/32 somewhat disagree,https://studentsforlife.org/
443,Sunlight Foundation,center,145/175 somewhat disagree,https://sunlightfoundation.com/
188,Suspend Belief Podcast,allsides,181/208 somewhat disagree,http://suspendbeliefpodcast.com/
444,Tablet Mag,right-center,14/23 disagree,https://www.tabletmag.com/
189,Tallahassee Democrat,center,298/323 somewhat disagree,http://www.tallahassee.com/
445,Tampa Bay Times,center,14/25 disagree,https://www.tampabay.com/
190,Tech Xplore,center,21/18 somewhat agree,http://techxplore.com/
446,TechCrunch,center,496/361 somewhat agree,http://techcrunch.com/
191,Teen Vogue,left-center,426/659 disagree,http://www.teenvogue.com/
447,The Advocate,left-center,28/48 disagree,https://www.theadvocate.com/
530,The Advocate-Messenger,left-center,213/269 somewhat disagree,https://www.amnews.com/
520,The American Conservative,right-center,116/87 somewhat agree,http://www.theamericanconservative.com/
192,The American Mind,right-center,50/50,https://americanmind.org/
448,The American Spectator,right,11943/4157 strongly agree,http://spectator.org/
193,The Appeal,center,105/101 somewhat agree,https://theappeal.org/
449,The Atlantic,left-center,14568/7946 agree,http://www.theatlantic.com/
194,The Bellows,center,1111/2022,https://www.thebellows.org/
450,The Boston Globe,left-center,1765/1328 somewhat agree,http://www.bostonglobe.com/
195,The Bulwark,right-center,107/118 somewhat disagree,https://www.thebulwark.com/
534,The Bush Center,right-center,0,https://www.bushcenter.org/
451,The Cadiz Record,left-center,197/204 somewhat disagree,http://www.cadizrecord.com/
